"id","alpha","v"
85,0.89,7.62
85,1.18,7.67
85,2.07,7.82
85,5.11,8.01
85,16.24,8.48
85,17.49,8.53
85,21.24,8.66
208,0.64,9.2
208,1.01,9.24
208,1.74,9.39
208,3.75,9.69
208,11.85,9.73
208,17.28,9.97
208,19.18,9.99
236,0.86,8.28
236,1.27,8.17
236,1.95,8.22
236,6.39,8.82
236,9.77,8.73
236,10.69,8.78
236,22.14,9.12
236,24.72,9.16
306,5.45,9.18
306,5.83,9.17
306,6.34,9.21
306,8,9.28
306,16.03,9.61
306,21.23,9.6
306,22.85,9.69
313,0.57,8.94
313,0.99,9.06
313,4.74,9.21
313,8.37,9.41
313,10.5,9.54
313,20.33,9.86
338,1.54,8.74
338,3.86,8.93
338,10.89,9.49
338,18.93,9.85
338,19.25,9.77
522,2,9.23
522,2.19,9.28
522,4.07,9.36
522,4.99,9.41
522,7.4,9.55
522,13.67,9.85
522,16.24,9.88
